jurisdiction,product_category,product_subtype,ingredient_lookup_kind,ingredient_lookup_value,rule_type,max_value,max_unit,basis,condition_text,exceptions_text,source_title,source_url,source_clause,effective_from,effective_to,rule_version,last_reviewed_at,status
UK,all,,canonical_name,4-Amino-3-nitrophenol,max_concentration,1,%,w/w,Max concentration rule (bootstrap from Annex III top-ranked list; conservative minimum across contexts). After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.5 %,,EU Annex III (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex III,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,4-Amino-m-cresol,max_concentration,1.5,%,w/w,Max concentration rule (bootstrap from Annex III top-ranked list; conservative minimum across contexts). After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.5 %,,EU Annex III (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex III,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,4-Amino-m-cresol,max_concentration,1.5,%,w/w,Max concentration rule (bootstrap from Annex III top-ranked list; conservative minimum across contexts). After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.5 %,,EU Annex III (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex III,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,4-Aminosalicylic acid,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,4-Aminosalicylic acid,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,"9-(3-Methylbut-2-enyloxy)furo[3,2-g]chromen-7-one",prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,"9-(3-Methylbut-2-enyloxy)furo[3,2-g]chromen-7-one",prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Aconitine (principal alkaloid of Aconitum napellus L.),prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,Aconitine (principal alkaloid of Aconitum napellus L.),prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,"Aconitum napellus L. (leaves, roots and galenical preparations)",prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,"Aconitum napellus L. (leaves, roots and galenical preparations)",prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Acrylamide,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list). Unless regulated elsewhere in this Regulation,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,Acrylamide,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list). Unless regulated elsewhere in this Regulation,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Acrylonitrile,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
