Toy Safety Directive - Substances Restricted in Toys
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:10:15
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	""	""	""	
"Cadmium bis(2-ethylhexanoate)"	"219-346-0"	"2420-98-6"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Tris(ethylenediamine)cadmium dihydroxide"	"238-945-8"	"14874-24-9"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Tetra-μ-chlorodichlorobis[2-[[(2,3-dihydroxypropoxy)hydroxyphosphinyl]oxy]triethylmethylammoniumato]tricadmium, stereoisomer"	"276-100-5"	"71861-27-3"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium isooctyl phthalate (1:2:2)"	"304-193-5"	"94247-16-2"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Potassium [N,N-bis(carboxymethyl)glycinato(3-)-N,O,O',O'']cadmate(1-)"	"256-488-2"	"49784-42-1"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium succinate"	"205-446-1"	"141-00-4"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Decanoic acid, branched, cadmium salts"	"291-155-5"	"90342-19-1"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium dilinoleate"	"267-845-7"	"67939-62-2"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium hydroxide"	"244-168-5"	"21041-95-2"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium distearate"	"218-743-6"	"2223-93-0"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Bis(pentane-2,4-dionato-O,O')cadmium"	"238-730-9"	"14689-45-3"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Slimes and Sludges, cadmium sump tank"	"273-832-7"	"69029-91-0"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium sulfoselenide orange"	"235-758-3"	"12656-57-4"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Barium cadmium zinc sulfide (Ba2(Cd,Zn)S3), manganese-doped"	"-"	"68876-90-4"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium selenide (CdSe), solid soln. with cadmium sulfide, zinc selenide and zinc sulfide, aluminum and copper-doped"	"309-897-6"	"101357-00-0"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Bis(dibutyldithiocarbamato-S,S')cadmium"	"238-609-0"	"14566-86-0"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"(T-4)-Tetrakis(3-methyl-1H-pyrazole-kappaN(2))cadmium(2+) monosulfate"	"-"	"55060-82-7"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium sulfide (CdS), solid soln. with zinc sulfide, aluminum and cobalt and copper and silver-doped"	"272-220-7"	"68784-10-1"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Zircon, cadmium red"	"691-407-8"	"72828-62-7"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Dimethylcadmium"	"208-055-4"	"506-82-1"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium borate oxide (Cd3(BO2)4O), manganese-doped"	"-"	"68784-58-7"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
