Cosmetic Products Regulation, Annex V - Allowed Preservatives
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:08:50
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"EC Number"	"CAS"	"Product type, body parts"	"Function(s)"	"Restriction(s)"	"Maximum Threshold"	"Qualifier(s)"	"Expressed As"	"Warning Label"	"Notes"	
"3-Iodo-2-propynylbutylcarbamate"	"259-627-5"	"55406-53-6"	"56"	"3-Iodo-2-propynylbutylcarbamate"	"259-627-5"	"55406-53-6"	"Rinse-off products other than oral and lip products, products for children under 3 years of age except in bath products/shower gels and shampoo"	"Preservative"	"Not to be used in oral and lip productsNot to be used in products for children under 3 years of age, except in bath products/shower gels and shampoo"	"0.02 %"	""	""	"Not to be used for children under 3 years of age."	"Wording of conditions of use and warnings is used solely for products which might be used for children under 3 years of ageOther than bath products/shower gels and shampoo"	
"4,4-Dimethyl-1,3-oxazolidine"	"257-048-2"	"51200-87-4"	"45"	"4,4-Dimethyl-1,3-oxazolidine"	"257-048-2"	"51200-87-4"	"All cosmetic products"	"Preservative"	"pH must be greater than 6"	"0.1 %"	""	""	""	""	
"4-(3-Ethoxy-4-hydroxyphenyl)-2-butanone"	"810-128-6"	"569646-79-3"	"60"	"4-(3-Ethoxy-4-hydroxyphenyl)butan-2-one"	"933-435-8"	"569646-79-3"	"All cosmetic products"	"Preservative"	""	"0.7 %"	""	""	""	""	
"4-Hydroxybenzoic acid"	"202-804-9"	"99-96-7"	"12"	"4-Hydroxybenzoic acid"	"202-804-9"	"99-96-7"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;4-Hydroxybenzoic acid and its Methyl-and Ethyl-esters, and their salts&#39;"	"0.4 %"	"For single ester"	"As acid"	""	"Maximum concentration is for single ester"	
"4-Isopropyl-m-cresol"	"221-761-7"	"3228-02-2"	"38"	"4-Isopropyl-m-cresol"	"221-761-7"	"3228-02-2"	"All cosmetic products"	"Preservative"	""	"0.1 %"	""	""	""	""	
"5-Bromo-5-nitro-1,3-dioxane"	"250-001-7"	"30007-47-7"	"20"	"5-Bromo-5-nitro-1,3-dioxane"	"250-001-7"	"30007-47-7"	"Rinse-off products"	"Preservative"	"Avoid formation of nitrosamines"	"0.1 %"	""	""	""	"All finished products containing substances which are listed in this Annex and which release formaldehyde shall be labelled with the warning &#39;&#39;releases formaldehyde&#39;&#39; where the total concentration of formaldehyde released in the finished product exceeds 0,001 % (10 ppm), irrespective of whether the finished product contains one or more substances releasing formaldehyde. However, all finished products containing substances referred to in the first subparagraph which comply with Regulation (EC) No 1223/2009 as applicable on 30 July 2022 may be placed on the Union market until 31 July 2024 and be made available on the Union market until 31 July 2026"	
"5-Chloro-2-(2,4-dichlorophenoxy) phenol"	"222-182-2"	"3380-34-5"	"25"	"5-Chloro-2-(2,4-dichlorophenoxy) phenol"	"222-182-2"	"3380-34-5"	"Hand soap"	"Preservative"	"Not to be used in toothpaste intended for children under 3 years of age"	"0.3 %"	""	""	"For toothpaste containing the substance the following labelling is obligatory: &#39;&#39;Not to be used for children under 3 years of age&#39;&#39;"	"Cosmetic products containing that substance that do not comply with the conditions may, provided that they comply with the conditions applicable on 23 April 2024, be placed on the Union market until 31 December 2024 and, if they have already been placed on the market before that date, continue to be made available on the Union market until 31 October 2025For use other than as a preservative, see Annex III, No. 100"	
"5-Chloro-2-(2,4-dichlorophenoxy) phenol"	"222-182-2"	"3380-34-5"	"25"	"5-Chloro-2-(2,4-dichlorophenoxy) phenol"	"222-182-2"	"3380-34-5"	"Body soap/Shower gel"	"Preservative"	"Not to be used in toothpaste intended for children under 3 years of age"	"0.3 %"	""	""	"For toothpaste containing the substance the following labelling is obligatory: &#39;&#39;Not to be used for children under 3 years of age&#39;&#39;"	"Cosmetic products containing that substance that do not comply with the conditions may, provided that they comply with the conditions applicable on 23 April 2024, be placed on the Union market until 31 December 2024 and, if they have already been placed on the market before that date, continue to be made available on the Union market until 31 October 2025For use other than as a preservative, see Annex III, No. 100"	
"5-Chloro-2-(2,4-dichlorophenoxy) phenol"	"222-182-2"	"3380-34-5"	"25"	"5-Chloro-2-(2,4-dichlorophenoxy) phenol"	"222-182-2"	"3380-34-5"	"Nail products for cleaning the fingernails and toenails before the application of artificial nail systems"	"Preservative"	"Not to be used in toothpaste intended for children under 3 years of age"	"0.3 %"	""	""	"For toothpaste containing the substance the following labelling is obligatory: &#39;&#39;Not to be used for children under 3 years of age&#39;&#39;"	"Cosmetic products containing that substance that do not comply with the conditions may, provided that they comply with the conditions applicable on 23 April 2024, be placed on the Union market until 31 December 2024 and, if they have already been placed on the market before that date, continue to be made available on the Union market until 31 October 2025For use other than as a preservative, see Annex III, No. 100"	
"5-Chloro-2-(2,4-dichlorophenoxy) phenol"	"222-182-2"	"3380-34-5"	"25"	"5-Chloro-2-(2,4-dichlorophenoxy) phenol"	"222-182-2"	"3380-34-5"	"Face powders and blemish concealers"	"Preservative"	"Not to be used in toothpaste intended for children under 3 years of age"	"0.3 %"	""	""	"For toothpaste containing the substance the following labelling is obligatory: &#39;&#39;Not to be used for children under 3 years of age&#39;&#39;"	"Cosmetic products containing that substance that do not comply with the conditions may, provided that they comply with the conditions applicable on 23 April 2024, be placed on the Union market until 31 December 2024 and, if they have already been placed on the market before that date, continue to be made available on the Union market until 31 October 2025For use other than as a preservative, see Annex III, No. 100"	
