Cosmetic Products Regulation, Annex V - Allowed Preservatives
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:08:50
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"EC Number"	"CAS"	"Product type, body parts"	"Function(s)"	"Restriction(s)"	"Maximum Threshold"	"Qualifier(s)"	"Expressed As"	"Warning Label"	"Notes"	
"Potassium paraben"	"240-830-2"	"16782-08-4"	"12"	"Potassium paraben"	"240-830-2"	"16782-08-4"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;4-Hydroxybenzoic acid and its Methyl-and Ethyl-esters, and their salts&#39;"	"0.4 %"	"For single ester"	"As acid"	""	""	
"Potassium propionate"	"206-323-5"	"327-62-8"	"2"	"Potassium propionate"	"206-323-5"	"327-62-8"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Propionic acid and its salts&#39;"	"2 %"	""	"As acid"	""	""	
"Potassium propylparaben"	"284-597-5"	"84930-16-5"	"12a"	"Potassium propylparaben"	"284-597-5"	"84930-16-5"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Butyl 4-hydroxybenzoate and its salts, Propyl 4-hydroxybenzoate and its salts&#39;Not to be used in leave-on products designed for application on the nappy area of children under three years of age"	"0.14 %"	"For sum of the individual concentrations"	"As acid"	"For leave-on products designed for children under three years of age: &#39;&#39;Do not use on the nappy area&#39;&#39;."	""	
"Potassium salicylate"	"209-421-6"	"578-36-9"	"3"	"Potassium salicylate"	"209-421-6"	"578-36-9"	"Cosmetic products other than products for children under 3 years of age, except for shampoos"	"Preservative"	"Maximum concentration value is given for &#39;Salicylic acid and its salts&#39;Not to be used in products for children under 3 years of age, except for shampoos"	"0.5 %"	""	"As acid"	"Not to be used for children under 3 years of age."	"For use other than as a preservative, see Annex III, No. 98Wording of conditions of use and warnings is used solely for products which might be used for children under 3 years of age and which remain in prolonged contact with the skin"	
"Potassium sorbate"	"246-376-1"	"24634-61-5"	"4"	"Potassium sorbate"	"246-376-1"	"24634-61-5"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Hexa-2,4-dienoic acid and its salts&#39;"	"0.6 %"	""	"As acid"	""	""	
"Potassium sulfite"	"233-321-1"	"10117-38-1"	"9"	"Potassium sulfite"	"233-321-1"	"10117-38-1"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Inorganic sulphites and hydrogen sulphites&#39;"	"0.2 %"	""	"As free SO2"	""	"For use other than as a preservative, see Annex III, No. 99"	
"Potassium undecylenate"	"662-949-2"	"6159-41-7"	"18"	"Potassium undecylenate"	""	"6159-41-7"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Undec-10-enoic acid and its salts&#39;"	"0.2 %"	""	"As acid"	""	""	
"Propionic acid"	"201-176-3"	"79-09-4"	"2"	"Propionic acid"	"201-176-3"	"79-09-4"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Propionic acid and its salts&#39;"	"2 %"	""	"As acid"	""	""	
"Propyl 4-hydroxybenzoate"	"202-307-7"	"94-13-3"	"12a"	"Propyl 4-hydroxybenzoate"	"202-307-7"	"94-13-3"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Butyl 4-hydroxybenzoate and its salts, Propyl 4-hydroxybenzoate and its salts, 4-Hydroxybenzoic acid and its Methyl-and Ethyl-esters, and their salts&#39;Not to be used in leave-on products designed for application on the nappy area of children under three years of age"	"0.8 %"	"For mixtures of substances mentioned in entry 12 and 12a, where the sum of the individual concentrations of butyl- and propylparaben and their salts does not exceed 0,14 %"	"As acid"	"For leave-on products designed for children under three years of age: &#39;&#39;Do not use on the nappy area&#39;&#39;."	"Maximum concentration is for mixtures of substances mentioned in entry 12 and 12a, where the sum of the individual concentrations of butyl- and propylparaben and their salts does not exceed 0.14%"	
"Propyl 4-hydroxybenzoate"	"202-307-7"	"94-13-3"	"12a"	"Propyl 4-hydroxybenzoate"	"202-307-7"	"94-13-3"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Butyl 4-hydroxybenzoate and its salts, Propyl 4-hydroxybenzoate and its salts&#39;Not to be used in leave-on products designed for application on the nappy area of children under three years of age"	"0.14 %"	"For sum of the individual concentrations"	"As acid"	"For leave-on products designed for children under three years of age: &#39;&#39;Do not use on the nappy area&#39;&#39;."	"Maximum concentration is for the sum of the individual concentrations"	
"Propyl benzoate"	"219-020-8"	"2315-68-6"	"1a"	"Propyl benzoate"	"219-020-8"	"2315-68-6"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Salts of benzoic acid other than that listed under reference number 1 and esters of benzoic acid&#39;"	"0.5 %"	""	"As acid"	""	""	
"Quaternary ammonium compounds, benzyl-C12-14-alkyldimethyl, chlorides"	"287-089-1"	"85409-22-9"	"54"	"Quaternary ammonium compounds, benzyl-C12-14-alkyldimethyl, chlorides"	"287-089-1"	"85409-22-9"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Benzalkonium chloride, bromide and saccharinate&#39;"	"0.1 %"	""	"As benzalkonium chloride"	"Avoid contact with eyes."	"For use other than as a preservative, see Annex III, No. 65"	
"Quaternary ammonium compounds, benzyl-C12-16-alkyldimethyl, chlorides"	"270-325-2"	"68424-85-1"	"54"	"Quaternary ammonium compounds, benzyl-C12-16-alkyldimethyl, chlorides"	"270-325-2"	"68424-85-1"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Benzalkonium chloride, bromide and saccharinate&#39;"	"0.1 %"	""	"As benzalkonium chloride"	"Avoid contact with eyes."	"For use other than as a preservative, see Annex III, No. 65"	
"Quaternary ammonium compounds, benzylcoco alkyldimethyl, chlorides"	"263-080-8"	"61789-71-7"	"54"	"Quaternary ammonium compounds, benzylcoco alkyldimethyl, chlorides"	"263-080-8"	"61789-71-7"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Benzalkonium chloride, bromide and saccharinate&#39;"	"0.1 %"	""	"As benzalkonium chloride"	"Avoid contact with eyes."	"For use other than as a preservative, see Annex III, No. 65"	
"Salicylic acid"	"200-712-3"	"69-72-7"	"3"	"Salicylic acid"	"200-712-3"	"69-72-7"	"Cosmetic products other than products for children under 3 years of age"	"Preservative"	"Maximum concentration value is given for &#39;Salicylic acid and its salts&#39;Not to be used for children under 3 years of ageNot to be used in oral productsNot to be used in applications that may lead to exposure of the end-user&#39;slungs by inhalation"	"0.5 %"	""	"As acid"	"Not to be used for children under 3 years of age."	"For use other than as a preservative, see Annex III, No. 98Wording of conditions of use and warnings is used solely for products which might be used for children under 3 years of age"	
"Salts of chloride, bromide, sulphate, acetate of benzenecarboximidamide, 4,4'-(1,6-hexanediylbis (oxy))bis- (including isethionate and p-hydroxybenzoate)"	"-"	"-"	"47"	"Salts of chloride, bromide, sulphate, acetate of benzenecarboximidamide, 4,4&#39;-(1,6-hexanediylbis (oxy))bis- (including isethionate and p-hydroxybenzoate)"	""	""	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Benzenecarboximidamide, 4,4&#39;-(1,6-hexanediylbis (oxy))bis- and its salts&#39;"	"0.1 %"	""	""	""	""	
"Salts of potassium, calcium, magnesium, ammonium and ethanolamines of benzoic acid"	"-"	"-"	"1a"	"Salts of potassium, calcium, magnesium, ammonium and ethanolamines of benzoic acid"	""	""	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Salts of benzoic acid other than that listed under reference number 1 and esters of benzoic acid&#39;"	"0.5 %"	""	"As acid"	""	""	
"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of 3,3'-dibromo-4,4'-hexamethylenedioxydi-benzamidine"	"-"	"-"	"15"	"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of 3,3&#39;-dibromo-4,4&#39;-hexamethylenedioxydi-benzamidine"	""	""	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;3,3&#39;-Dibromo-4,4&#39;-hexamethylenedioxydi-benzamidine and its salts&#39;"	"0.1 %"	""	""	""	""	
"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of 3-acetyl-6-methylpyran-2,4(3H)-dione"	"-"	"-"	"13"	"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of 3-acetyl-6-methylpyran-2,4(3H)-dione"	""	""	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;3-Acetyl-6-methylpyran-2,4 (3H)-dione and its salts&#39;Not to be used in aerosol dispensers (sprays)"	"0.6 %"	""	"As acid"	""	""	
"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of 4-hydroxybenzoic acid and of its methyl- and ethyl-esters"	"-"	"-"	"12"	"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of 4-hydroxybenzoic acid and of its methyl- and ethyl-esters"	""	""	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;4-Hydroxybenzoic acid and its Methyl-and Ethyl-esters, and their salts&#39;"	"0.4 %"	"For single ester"	"As acid"	""	"For the purpose of this list: &#39;Salts&#39; is taken to mean: salts of the cations sodium, potassium, calcium, magnesium, ammonium and ethanolamines, Salts of the anions chloride, bromide, sulphate, acetateMaximum concentration is for single ester"	
"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of 4-hydroxybenzoic acid and of its methyl- and ethyl-esters"	"-"	"-"	"12"	"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of 4-hydroxybenzoic acid and of its methyl- and ethyl-esters"	""	""	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;4-Hydroxybenzoic acid and its Methyl-and Ethyl-esters, and their salts&#39;"	"0.8 %"	"For mixtures of esters"	"As acid"	""	"For the purpose of this list: &#39;Salts&#39; is taken to mean: salts of the cations sodium, potassium, calcium, magnesium, ammonium and ethanolamines, Salts of the anions chloride, bromide, sulphate, acetateMaximum concentration is for single ester"	
"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of butyl 4-hydroxybenzoate"	"-"	"-"	"12a"	"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of butyl 4-hydroxybenzoate"	""	""	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Butyl 4-hydroxybenzoate and its salts, Propyl 4-hydroxybenzoate and its salts&#39;Not to be used in leave-on products designed for application on the nappy area of children under three years of age"	"0.14 %"	"For sum of the individual concentrations"	"As acid"	"For leave-on products designed for children under three years of age: &#39;&#39;Do not use on the nappy area&#39;&#39;."	"Maximum concentration is for the sum of the individual concentrations"	
"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of butyl 4-hydroxybenzoate"	"-"	"-"	"12a"	"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of butyl 4-hydroxybenzoate"	""	""	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Butyl 4-hydroxybenzoate and its salts, Propyl 4-hydroxybenzoate and its salts, 4-Hydroxybenzoic acid and its Methyl-and Ethyl-esters, and their salts&#39;Not to be used in leave-on products designed for application on the nappy area of children under three years of age"	"0.8 %"	"For mixtures of substances mentioned in entry 12 and 12a, where the sum of the individual concentrations of butyl- and propylparaben and their salts does not exceed 0,14 %"	"As acid"	"For leave-on products designed for children under three years of age: &#39;&#39;Do not use on the nappy area&#39;&#39;."	"Maximum concentration is for mixtures of substances mentioned in entry 12 and 12a, where the sum of the individual concentrations of butyl- and propylparaben and their salts does not exceed 0.14%"	
"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of hexa-2,4-dienoic acid"	"-"	"-"	"4"	"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of hexa-2,4-dienoic acid"	""	""	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Hexa-2,4-dienoic acid and its salts&#39;"	"0.6 %"	""	"As acid"	""	""	
"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of propionic acid"	"-"	"-"	"2"	"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of propionic acid"	""	""	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Propionic acid and its salts&#39;"	"2 %"	""	"As acid"	""	""	
"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of propyl 4-hydroxybenzoate"	"-"	"-"	"12a"	"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of propyl 4-hydroxybenzoate"	""	""	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Butyl 4-hydroxybenzoate and its salts, Propyl 4-hydroxybenzoate and its salts, 4-Hydroxybenzoic acid and its Methyl-and Ethyl-esters, and their salts&#39;Not to be used in leave-on products designed for application on the nappy area of children under three years of age"	"0.8 %"	"For mixtures of substances mentioned in entry 12 and 12a, where the sum of the individual concentrations of butyl- and propylparaben and their salts does not exceed 0,14 %"	"As acid"	"For leave-on products designed for children under three years of age: &#39;&#39;Do not use on the nappy area&#39;&#39;."	"Maximum concentration is for mixtures of substances mentioned in entry 12 and 12a, where the sum of the individual concentrations of butyl- and propylparaben and their salts does not exceed 0.14%"	
"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of propyl 4-hydroxybenzoate"	"-"	"-"	"12a"	"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of propyl 4-hydroxybenzoate"	""	""	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Butyl 4-hydroxybenzoate and its salts, Propyl 4-hydroxybenzoate and its salts&#39;Not to be used in leave-on products designed for application on the nappy area of children under three years of age"	"0.14 %"	"For sum of the individual concentrations"	"As acid"	"For leave-on products designed for children under three years of age: &#39;&#39;Do not use on the nappy area&#39;&#39;."	"Maximum concentration is for the sum of the individual concentrations"	
"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of salicylic acid"	"-"	"-"	"3"	"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of salicylic acid"	""	""	"Cosmetic products other than products for children under 3 years of age, except for shampoos"	"Preservative"	"Maximum concentration value is given for &#39;Salicylic acid and its salts&#39;Not to be used in products for children under 3 years of age, except for shampoos"	"0.5 %"	""	"As acid"	"Not to be used for children under 3 years of age."	"For use other than as a preservative, see Annex III, No. 98Wording of conditions of use and warnings is used solely for products which might be used for children under 3 years of age and which remain in prolonged contact with the skin"	
"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of undec-10-enoic acid"	"-"	"-"	"18"	"Salts of sodium, potassium, calcium, magnesium, ammonium and ethanolamines of undec-10-enoic acid"	""	""	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Undec-10-enoic acid and its salts&#39;"	"0.2 %"	""	"As acid"	""	""	
"Silver chloride deposited on titanium dioxide"	"232-033-3"	"7783-90-6"	"52"	"Silver chloride deposited on titanium dioxide"	"232-033-3"	"7783-90-6"	"All cosmetic products except products for children under 3 years of age, oral products and eye and lip products"	"Preservative"	"20% AgCl (w/w) on TiO2: Not to be used in products for children under 3 years of age, in oral products and in eye and lip products"	"0.004 %"	""	"As AgCl"	""	""	
"Sodium Benzoate"	"208-534-8"	"532-32-1"	"1"	"Sodium Benzoate"	"208-534-8"	"532-32-1"	"Rinse-off products excluding oral products"	"Preservative"	"Maximum concentration value is given for &#39;Benzoic acid and its sodium salt&#39;"	"2.5 %"	""	"As acid"	""	""	
"Sodium Benzoate"	"208-534-8"	"532-32-1"	"1"	"Sodium Benzoate"	"208-534-8"	"532-32-1"	"Oral products"	"Preservative"	"Maximum concentration value is given for &#39;Benzoic acid and its sodium salt&#39;"	"1.7 %"	""	"As acid"	""	""	
"Sodium Benzoate"	"208-534-8"	"532-32-1"	"1"	"Sodium Benzoate"	"208-534-8"	"532-32-1"	"Leave-on products"	"Preservative"	"Maximum concentration value is given for &#39;Benzoic acid and its sodium salt&#39;"	"0.5 %"	""	"As acid"	""	""	
"Sodium bisulfite"	"231-548-0"	"7631-90-5"	"9"	"Sodium bisulfite"	"231-548-0"	"7631-90-5"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Inorganic sulphites and hydrogen sulphites&#39;"	"0.2 %"	""	"As free SO2"	""	"For use other than as a preservative, see Annex III, No. 99"	
"Sodium butylparaben"	"253-049-7"	"36457-20-2"	"12a"	"Sodium butylparaben"	"253-049-7"	"36457-20-2"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Butyl 4-hydroxybenzoate and its salts, Propyl 4-hydroxybenzoate and its salts&#39;Not to be used in leave-on products designed for application on the nappy area of children under three years of age"	"0.14 %"	"For sum of the individual concentrations"	"As acid"	"For leave-on products designed for children under three years of age: &#39;&#39;Do not use on the nappy area&#39;&#39;."	""	
"Sodium dehydroacetate"	"224-580-1"	"4418-26-2"	"13"	"Sodium dehydroacetate"	"224-580-1"	"4418-26-2"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;3-Acetyl-6-methylpyran-2,4 (3H)-dione and its salts&#39;Not to be used in aerosol dispensers (sprays)"	"0.6 %"	""	"As acid"	""	""	
"Sodium ethylparaben"	"252-487-6"	"35285-68-8"	"12"	"Sodium ethylparaben"	"252-487-6"	"35285-68-8"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;4-Hydroxybenzoic acid and its Methyl-and Ethyl-esters, and their salts&#39;"	"0.4 %"	"For single ester"	"As acid"	""	""	
"Sodium metabisulfite"	"231-673-0"	"7681-57-4"	"9"	"Sodium metabisulfite"	"231-673-0"	"7681-57-4"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Inorganic sulphites and hydrogen sulphites&#39;"	"0.2 %"	""	"As free SO2"	""	"For use other than as a preservative, see Annex III, No. 99"	
"Sodium methylparaben"	"225-714-1"	"5026-62-0"	"12"	"Sodium methylparaben"	"225-714-1"	"5026-62-0"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;4-Hydroxybenzoic acid and its Methyl-and Ethyl-esters, and their salts&#39;"	"0.4 %"	"For single ester"	"As acid"	""	""	
"Sodium N-(hydroxymethyl)glycinate"	"274-357-8"	"70161-44-3"	"51"	"Sodium N-(hydroxymethyl)glycinate"	"274-357-8"	"70161-44-3"	"All cosmetic products"	"Preservative"	"Not to be used unless it can be shown that the maximum theoretical concentration of releasable formaldehyde, irrespective of the source, in the mixture as placed on the market is &lt; 0,1 % w/w"	"0.5 %"	""	""	""	"All finished products containing substances which are listed in this Annex and which release formaldehyde shall be labelled with the warning &#39;&#39;releases formaldehyde&#39;&#39; where the total concentration of formaldehyde released in the finished product exceeds 0,001 % (10 ppm), irrespective of whether the finished product contains one or more substances releasing formaldehyde. However, all finished products containing substances referred to in the first subparagraph which comply with Regulation (EC) No 1223/2009 as applicable on 30 July 2022 may be placed on the Union market until 31 July 2024 and be made available on the Union market until 31 July 2026"	
"Sodium paraben"	"204-051-1"	"114-63-6"	"12"	"Sodium paraben"	"204-051-1"	"114-63-6"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;4-Hydroxybenzoic acid and its Methyl-and Ethyl-esters, and their salts&#39;"	"0.4 %"	"For single ester"	"As acid"	""	""	
"Sodium propionate"	"205-290-4"	"137-40-6"	"2"	"Sodium propionate"	"205-290-4"	"137-40-6"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Propionic acid and its salts&#39;"	"2 %"	""	"As acid"	""	""	
"Sodium propylparaben"	"252-488-1"	"35285-69-9"	"12a"	"Sodium propylparaben"	"252-488-1"	"35285-69-9"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Butyl 4-hydroxybenzoate and its salts, Propyl 4-hydroxybenzoate and its salts&#39;Not to be used in leave-on products designed for application on the nappy area of children under three years of age"	"0.14 %"	"For sum of the individual concentrations"	"As acid"	"For leave-on products designed for children under three years of age: &#39;&#39;Do not use on the nappy area&#39;&#39;."	""	
"Sodium salicylate"	"200-198-0"	"54-21-7"	"3"	"Sodium salicylate"	"200-198-0"	"54-21-7"	"Cosmetic products other than products for children under 3 years of age, except for shampoos"	"Preservative"	"Maximum concentration value is given for &#39;Salicylic acid and its salts&#39;Not to be used in products for children under 3 years of age, except for shampoos"	"0.5 %"	""	"As acid"	"Not to be used for children under 3 years of age."	"For use other than as a preservative, see Annex III, No. 98Wording of conditions of use and warnings is used solely for products which might be used for children under 3 years of age and which remain in prolonged contact with the skin"	
"Sodium salt of formic acid"	"205-488-0"	"141-53-7"	"14"	"Sodium salt of formic acid"	"205-488-0"	"141-53-7"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Formic acid and its sodium salt&#39;"	"0.5 %"	""	"As acid"	""	""	
"Sodium sorbate"	"231-819-3"	"7757-81-5"	"4"	"Sodium sorbate"	"231-819-3"	"7757-81-5"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Hexa-2,4-dienoic acid and its salts&#39;"	"0.6 %"	""	"As acid"	""	""	
"Sodium sulfite"	"231-821-4"	"7757-83-7"	"9"	"Sodium sulfite"	"231-821-4"	"7757-83-7"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Inorganic sulphites and hydrogen sulphites&#39;"	"0.2 %"	""	"As free SO2"	""	"For use other than as a preservative, see Annex III, No. 99"	
"Steartrimonium bromide"	"214-294-5"	"1120-02-1"	"44"	"Steartrimonium bromide"	"214-294-5"	"1120-02-1"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Alkyl (C 12-22) trimethyl ammonium bromide and chloride&#39;"	"0.1 %"	""	""	""	""	
"Steartrimonium chloride"	"203-929-1"	"112-03-8"	"44"	"Steartrimonium chloride"	"203-929-1"	"112-03-8"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Alkyl (C 12-22) trimethyl ammonium bromide and chloride&#39;"	"0.1 %"	""	""	""	"For use other than as a preservative, see Annex III, No 286"	
"TEA-salicylate"	"218-531-3"	"2174-16-5"	"3"	"TEA-salicylate"	"218-531-3"	"2174-16-5"	"Cosmetic products other than products for children under 3 years of age, except for shampoos"	"Preservative"	"Maximum concentration value is given for &#39;Salicylic acid and its salts&#39;Not to be used in products for children under 3 years of age, except for shampoos"	"0.5 %"	""	"As acid"	"Not to be used for children under 3 years of age."	"For use other than as a preservative, see Annex III, No. 98Wording of conditions of use and warnings is used solely for products which might be used for children under 3 years of age and which remain in prolonged contact with the skin"	
"TEA-undecylenate"	"282-908-9"	"84471-25-0"	"18"	"TEA-undecylenate"	"282-908-9"	"84471-25-0"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Undec-10-enoic acid and its salts&#39;"	"0.2 %"	""	"As acid"	""	""	
"Thiomersal"	"200-210-4"	"54-64-8"	"16"	"Thiomersal"	"200-210-4"	"54-64-8"	"Eye products"	"Preservative"	"If mixed with other mercurial compounds authorised by this Regulation, the maximum concentration of Hg remains fixed at 0.007%"	"0.007 %"	""	"As Hg"	"Contains Thiomersal."	""	
"Undec-10-enoic acid"	"203-965-8"	"112-38-9"	"18"	"Undec-10-enoic acid"	"203-965-8"	"112-38-9"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Undec-10-enoic acid and its salts&#39;"	"0.2 %"	""	"As acid"	""	""	
"Undec-10-enoic acid, compound with 2-aminoethanol (1:1)"	"260-247-7"	"56532-40-2"	"18"	"Undec-10-enoic acid, compound with 2-aminoethanol (1:1)"	"260-247-7"	"56532-40-2"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Undec-10-enoic acid and its salts&#39;"	"0.2 %"	""	"As acid"	""	""	
