Cosmetic Products Regulation, Annex VI - Allowed UV Filters
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:09:06
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"EC Number"	"CAS"	"Common Ingredients"	"Physical form"	"Product type, body parts"	"Function(s)"	"Maximum Threshold"	"Restriction(s)"	"Expressed As"	"Warning Label"	"Notes"	
"2-Phenylbenzimidazole-5-sulfonic acid;Ensulizole"	"248-502-0"	"27503-81-7"	"6"	"2-Phenylbenzimidazole-5-sulfonic acidEnsulizole"	"248-502-0"	"27503-81-7"	""	""	"All cosmetic products"	"UV Filter"	"8 %"	""	"As acid"	""	""	
"3,3'-(1,4-Phenylene)bis(5,6-diphenyl-1,2,4-triazine)"	"700-823-1"	"55514-22-2"	"31"	"3,3&#39;-(1,4-Phenylene)bis(5,6-diphenyl-1,2,4-triazine)"	"700-823-1"	"55514-22-2"	""	""	"All cosmetic products"	"UV Filter"	"5 %"	"Not to be used in applications that may lead to exposure of the end user&#39;s lungs by inhalation"	""	""	""	
"3,3'-(1,4-Phenylenedimethylene) bis(7,7-dimethyl-2-oxobicyclo-[2.2.1]hept-1-yl-methanesufonic acid);Ecamsule"	"410-960-6"	"92761-26-7"	"7"	"3,3&#39;-(1,4-Phenylenedimethylene) bis(7,7-dimethyl-2-oxobicyclo-[2.2.1]hept-1-yl-methanesufonic acid)Ecamsule"	"410-960-6"	"92761-26-7"	""	""	"All cosmetic products"	"UV Filter"	"10 %"	""	"As acid"	""	""	
"alpha-(2-Oxoborn-3-ylidene)-toluene-4-sulphonic acid"	"809-459-9"	"56039-58-8"	"9"	"alpha-(2-Oxoborn-3-ylidene)-toluene-4-sulphonic acid"	""	"56039-58-8"	""	""	"All cosmetic products"	"UV Filter"	"6 %"	""	"As acid"	""	""	
"Amiloxate;Isopentyl-4-methoxycinnamate"	"275-702-5"	"71617-10-2"	"14"	"AmiloxateIsopentyl-4-methoxycinnamate"	"275-702-5"	"71617-10-2"	""	""	"All cosmetic products"	"UV Filter"	"10 %"	""	""	""	""	
"Anatase (TiO2)"	"215-280-1"	"1317-70-0"	"27a"	"Anatase (TiO2)"	"215-280-1"	"1317-70-0"	""	"Nano"	"All cosmetic products"	"UV Filter"	"25 %"	"Not to be used in applications that may lead to exposure of the end-user&#39;s lungs by inhalationOnly nanomaterials having the following characteristics are allowed: - Purity ≥ 99 % - Rutile form, or rutile with up to 5 % anatase, with crystalline structure and physical appearance as clusters of spherical, needle, or lanceolate shapes - Median particle size based on number size distribution ≥ 30 nm - Aspect ratio from 1 to 4,5, and volume specific surface area ≤ 460 m2 /cm3 - Coated with Silica, Hydrated Silica, Alumina, Aluminium Hydroxide, Aluminium Stearate, Stearic Acid, Trimethoxycaprylylsilane, Glycerin, Dimethicone, Hydrogen Dimethicone, Simethicone or coated with one of the following combinations: - Silica at a maximum concentration of 16 % and Cetyl Phosphate at a maximum concentration of 6 %, - Alumina at a maximum concentration of 7 % and Manganese Dioxide at a maximum concentration of 0,7 % (not to be used in lip products), - Alumina at a maximum concentration of 3 % and Triethoxycaprylylsilane at a maximum concentration of 9 %, - Photocatalytic activity ≤ 10 % compared to corresponding non-coated or non-doped reference - Nanoparticles are photostable in the final formulation"	""	"For face products containing Titanium Dioxide (nano) coated with the combination Alumina and Manganese Dioxide: Not to be used on the lips."	"For use as a colorant, see Annex IV, No. 143In case of combined use of Titanium Dioxide and Titanium Dioxide (nano), the sum shall not exceed the limit given in column g"	
"Anatase (TiO2)"	"215-280-1"	"1317-70-0"	"27"	"Anatase (TiO2)"	"215-280-1"	"1317-70-0"	""	""	"All cosmetic products"	"UV Filter"	"25 %"	"Titanium dioxide in powder form containing 1 % or more of particles with aerodynamic diameter ≤ 10 µm: (a) to be used in compliance with Annex III, No [321] (b) for cosmetic products other than face products in loose powder form and hair aerosol spray products the maximum concentration in ready for use preparation provided in column (g) of this entry applies"	""	""	"For use other than as a colorant, see Annex IV, No. 143In case of combined use of Titanium Dioxide and Titanium Dioxide (nano), the sum shall not exceed the limit given in column g"	
"Benzenesulfonic acid, 5-benzoyl-4-hydroxy-2-methoxy-, monosodium salt"	"613-918-7"	"6628-37-1"	"22"	"Benzenesulfonic acid, 5-benzoyl-4-hydroxy-2-methoxy-, monosodium salt"	""	"6628-37-1"	""	""	"All cosmetic products"	"UV Filter"	"5 %"	""	"As acid"	""	""	
"Benzoic acid, 2-[4-(diethylamino)-2-hydroxybenzoyl]-, Hexyl ester"	"443-860-6"	"302776-68-7"	"28"	"Benzoic acid, 2-[4-(diethylamino)-2-hydroxybenzoyl]-, Hexyl ester"	"443-860-6"	"302776-68-7"	""	""	"All cosmetic products"	"UV Filter"	"10 %"	""	""	""	""	
"Benzoic acid, 2-hydroxy-, 3,3,5-trimethylcyclohexyl ester;Homosalate"	"204-260-8"	"118-56-9"	"3"	"Benzoic acid, 2-hydroxy-, 3,3,5-trimethylcyclohexyl esterHomosalate"	"204-260-8"	"118-56-9"	""	""	"Face products with the exception of propellent spray products"	"UV Filter"	"7.34 %"	""	""	""	"From 1 January 2025 cosmetic products containing that substance and not complying with the conditions shall not be placed on the Union market. From 1 July 2025 cosmetic products containing that substance and not complying with the conditions shall not be made available on the Union market"	
