Annex II, Sec III - Allergenic Fragrances Banned/Restricted in Toys
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:10:32
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	
"5-Methyl-2,3-hexanedione"	"237-241-8"	"13706-86-0"	"Any toys"	"13706-86-0"	""	"5-Methyl-2,3-hexanedione"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"6,10-Dimethyl-3,5,9-undecatrien-2-one"	"205-457-1"	"141-10-6"	"Any toys"	"141-10-6"	""	"6,10-Dimethyl-3,5,9-undecatrien-2-one"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"6-lsopropyl-2-decahydronaphthalenol"	"251-841-7"	"34131-99-2"	"Any toys"	"34131-99-2"	""	"6-lsopropyl-2-decahydronaphthalenol"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"6-Methylcoumarin"	"202-158-8"	"92-48-8"	"Any toys"	"92-48-8"	""	"6-Methylcoumarin"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"7,11-Dimethyl-4,6,10-dodecatrien-3-one"	"247-878-3"	"26651-96-7"	"Any toys"	"26651-96-7"	""	"7,11-Dimethyl-4,6,10-dodecatrien-3-one"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"7-Ethoxy-4-methylcoumarin"	"201-721-5"	"87-05-8"	"Any toys"	"87-05-8"	""	"7-Ethoxy-4-methylcoumarin"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"7-Methoxycoumarin"	"208-513-3"	"531-59-9"	"Any toys"	"531-59-9"	""	"7-Methoxycoumarin"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"7-Methylcoumarin"	"219-499-3"	"2445-83-2"	"Any toys"	"2445-83-2"	""	"7-Methylcoumarin"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"[3R-(3α,3aβ,7β,8aα)]-1-(2,3,4,7,8,8a-hexahydro-3,6,8,8-tetramethyl-1H-3a,7-methanoazulen-5-yl)ethan-1-one"	"251-020-3"	"32388-55-9"	"Any toys"	"32388-55-9"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Acetylcedrene"	""	""	
"AEC Cassia Leaf Oil"	"616-916-4"	"8007-80-5"	"Any toys"	"8007-80-5"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Cinnamomum cassia leaf oil"	""	""	
"Alanroot oil (Inula helenium)"	"639-634-3"	"97676-35-2"	"Any toys"	"97676-35-2"	""	"Alanroot oil (Inula helenium)"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Allylisothiocyanate"	"200-309-2"	"57-06-7"	"Any toys"	"57-06-7"	""	"Allylisothiocyanate"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"alpha-Pinene"	"201-291-9"	"80-56-8"	"Any toys"	"80-56-8"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"alpha-Pinene"	""	""	
"alpha-Santalol"	"204-102-8"	"115-71-9"	"Any toys"	"115-71-9"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"alpha-Santalol"	""	""	
"alpha-Terpineol"	"202-680-6"	"98-55-5"	"Any toys"	"98-55-5"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"alpha-Terpineol"	""	""	
"Amyl cinnamal"	"204-541-5"	"122-40-7"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"122-40-7"	""	"Amyl cinnamal"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Amyl salicylate"	"218-080-2"	"2050-08-0"	"Any toys"	"2050-08-0"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Amyl salicylate"	""	""	
