Detergents Regulation - Content Labelling
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:09:35
Header

"Substance Identifier"	""	



"1,2,3,4-tetrafluorobenzene"	"208-997-6"	"551-62-2"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,3,5-trifluorobenzene"	"206-751-2"	"372-38-3"	"Halogenated hydrocarbons"	""	"0.2 %"	
"2-bromo-1,3,4,5-tetrafluorobenzene"	"216-325-8"	"1559-86-0"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Benzene, 1,2,3-triiodo-"	"-"	"608-29-7"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2,3,4-tetrachlorobenzene"	"211-214-0"	"634-66-2"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,4-difluorobenzene"	"208-742-9"	"540-36-3"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Chloropentafluorobenzene"	"206-450-6"	"344-07-0"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Tetrafluorobenzene"	"248-779-8"	"28016-01-5"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Tetrachlorobenzene"	"235-643-8"	"12408-10-5"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Benzene, 1,3,5-triiodo-"	"-"	"626-44-8"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2,3,5-tetrafluorobenzene"	"219-126-4"	"2367-82-0"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Tetrabromobenzene (mixed isomers)"	"-"	"27476-23-9"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2-difluorobenzene"	"206-680-7"	"367-11-3"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,3,5-trichloro-2,4,6-trifluorobenzene"	"206-273-4"	"319-88-0"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-4-chlorobenzene"	"203-392-3"	"106-39-8"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-3-chlorobenzene"	"203-575-8"	"108-37-2"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-2-fluorobenzene"	"214-018-3"	"1072-85-1"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-2,4-dichlorobenzene"	"214-778-6"	"1193-72-2"	"Halogenated hydrocarbons"	""	"0.2 %"	
"2-bromochlorobenzene"	"211-775-1"	"694-80-4"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Pentabromophenol"	"210-167-3"	"608-71-9"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Tribromobenzene"	"249-211-1"	"28779-08-0"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2-dichloro-3-iodobenzene"	"219-276-0"	"2401-21-0"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2-dibromobenzene"	"209-507-3"	"583-53-9"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2,3,5-tetrachlorobenzene"	"211-217-7"	"634-90-2"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,3-dibromobenzene"	"203-574-2"	"108-36-1"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2,4,5-tetrafluoro-3,6-diiodobenzene"	"206-877-8"	"392-57-4"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-2,6-dichlorobenzene"	"243-018-6"	"19393-92-1"	"Halogenated hydrocarbons"	""	"0.2 %"	
