General Product Safety Regulation – Hazardous Substances
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:07:04


"Substance Identifier"	""	



"(R)-4-hydroxy-3-(3-oxo-1-phenylbutyl)-2-benzopyrone"	"226-908-9"	"5543-58-8"	""	"yes"	""	"Annex 17 Appendix 5"	""	""	
"(R)-5-bromo-3-(1-methyl-2-pyrrolidinyl methyl)-1H-indole"	"422-390-5"	"143322-57-0"	""	"yes"	""	""	""	""	
"(R)-butan-2-ol"	"238-967-8"	"14898-79-4"	""	"yes"	""	""	""	""	
"(R)-p-mentha-1,8-diene; d-limonene"	"227-813-5"	"5989-27-5"	""	"yes"	""	""	""	""	
"(R)-α-methyl-1,3-benzodioxole-5-propionaldehyde; (2R)-3-(1,3-benzodioxol-5-yl)-2-methylpropanal"	"858-656-6"	"737776-59-9"	""	"yes"	""	""	""	""	
"(R)-α-phenylethylammonium(-)-(1R, 2S)-(1,2-epoxypropyl)phosphonate monohydrate"	"418-570-8"	"25383-07-7"	""	"yes"	""	""	""	""	
"(R, S)-1-[2-amino-1(4-methoxyphenyl)ethyl]cyclohexanol acetate"	"445-750-3"	"839705-03-2"	""	"yes"	""	""	""	""	
"(R, S)-2-amino-3,3-dimethylbutane amide"	"447-860-7"	"144177-62-8"	""	"yes"	""	""	""	""	
"(R, S)-2-azabicyclo[2.2.1]hept-5-en-3-one"	"421-830-3"	"49805-30-3"	""	"yes"	""	""	""	""	
"(R, S)-2-butyloctanedioic acid"	"431-210-4"	"50905-10-7"	""	"yes"	""	""	""	""	
"(R,S)-4-(4-dimethylamino-1-(4-fluorophenyl)-1-hydroxybutyl)-3-(hydroxymethyl)benzonitrile"	"430-780-1"	"103146-25-4"	""	"yes"	""	""	""	""	
"(R,S)-4-(4-dimethylamino-1-(4-fluorophenyl)-1-hydroxybutyl)3-(hydroxymethyl)benzonitrile hemisulfate"	"430-790-6"	"-"	""	"yes"	""	""	""	""	
"(RS)-1-{1-ethyl-4-[4-mesyl-3-(2-methoxyethoxy)-o-toluoyl]pyrazol-5-yloxy} ethyl methyl carbonate; tolpyralate"	"701-225-3"	"1101132-67-5"	""	"yes"	""	""	""	""	
"(RS)-2-methoxy-N-methyl-2-[α-(2,5-xylyloxy)-o-tolyl]acetamide; mandestrobin"	"695-819-9"	"173662-97-0"	""	"yes"	""	""	""	""	
"(RS)-4-[1-(2,3-dimethylphenyl)ethyl]-1H-imidazole; medetomidine"	"811-718-6"	"86347-14-0"	""	"yes"	""	""	""	""	
"(S)-(-)-2-acetoxypropionylchloride; (1S)-2-chloro-1-methyl-2-oxoethyl acetate"	"420-610-4"	"36394-75-9"	""	"yes"	""	""	""	""	
"(S)-1,1-diphenyl-1,2-propanediol"	"443-220-6"	"46755-94-6"	""	"yes"	""	""	""	""	
"(S)-1-[2-tert-butoxycarbonyl-3-(2-methoxyethoxy)propyl]-1-cyclopentanecarboxylic acid, cyclohexylamine salt"	"425-510-4"	"167944-94-7"	""	"yes"	""	""	""	""	
"(S)-2,2-diphenyl-2-(3-pyrrolidinyl)acetonitrile hydrobromide"	"421-810-4"	"194602-27-2"	""	"yes"	""	""	""	""	
"(S)-2,3-dihydro-1H-indole-2-carboxylic acid"	"410-860-2"	"79815-20-6"	""	"yes"	""	""	""	""	
"(S)-2-chloropropionic acid"	"411-150-5"	"29617-66-1"	""	"yes"	""	""	""	""	
"(S)-3-benzyloxycarbonyl-1,2,3,4-tetrahydro-isoquinolinium 4-methylbenzenesulfonate"	"406-960-0"	"77497-97-3"	""	"yes"	""	""	""	""	
"(S)-3-hydroxy-γ-butyrolactone"	"434-990-4"	"7331-52-4"	""	"yes"	""	""	""	""	
"(S)-3-methyl-2-(2-oxotetrahydropyrimidine-1-yl)butyric acid"	"430-900-2"	"192725-50-1"	""	"yes"	""	""	""	""	
"(S)-4-(3,4-dichlorophenyl)-3,4-dihydro-2H-naphthalen-1-one"	"444-830-5"	"124379-29-9"	""	"yes"	""	""	""	""	
"(S)-4-(4-dimethylamino-1-(4-fluorophenyl)-1-hydroxybutyl)-3-(hydroxymethyl)benzonitrile"	"430-770-7"	"128173-52-4"	""	"yes"	""	""	""	""	
"(S)-4-hydroxy-3-(3-oxo-1-phenylbutyl)-2-benzopyrone"	"226-907-3"	"5543-57-7"	""	"yes"	""	"Annex 17 Appendix 5"	""	""	
"(S)-azetidine-2-carboxylic acid; 4-cyanobenzylamide hydrochloride"	"433-010-2"	"2135910-74-4"	""	"yes"	""	""	""	""	
"(S)-butan-2-ol"	"224-168-1"	"4221-99-2"	""	"yes"	""	""	""	""	
"(S)-methyl-2-chloropropionate"	"412-470-8"	"73246-45-4"	""	"yes"	""	""	""	""	
"(S)-N-tert-butyl-1,2,3,4-tetrahydro-3-isoquinolinecarboxamide"	"414-600-9"	"149182-72-9"	""	"yes"	""	""	""	""	
"(S)-p-mentha-1,8-diene; l-limonene"	"227-815-6"	"5989-54-8"	""	"yes"	""	""	""	""	
