Cosmetic Products Regulation, Annex IV - Allowed Colorants
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:08:22
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"EC Number"	"CAS"	"Colour Index (CI) Number"	"Colour"	"Physical form"	"Product type, body parts"	"Restriction(s)"	"Maximum Threshold"	"Expressed As"	"Function(s)"	"Notes"	
"6-Chloro-2-(6-chloro-4-methyl-3-oxobenzo[b]thien-2(3H)-ylidene)-4-methylbenzo[b]thiophene-3(2H)-one"	"219-163-6"	"2379-74-0"	"100"	"6-Chloro-2-(6-chloro-4-methyl-3-oxobenzo[b]thien-2(3H)-ylidene)-4-methylbenzo[b]thiophene-3(2H)-one"	""	"2379-74-0"	"73360"	"Red"	""	"All cosmetic products except when used as a substance in hair dye products"	""	""	""	"Colorant"	""	
"7,16-dichloro-6,15-dihydroanthrazine-5,9,14,18-tetrone"	"204-980-2"	"130-20-1"	"96"	"7,16-dichloro-6,15-dihydroanthrazine-5,9,14,18-tetrone"	""	"130-20-1"	"69825"	"Blue"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"8'-apo-β-Caroten-8'-al"	"-"	"1962-15-8"	"56"	"8&#39;-apo-β-Caroten-8&#39;-al"	""	"1962-15-8"	"40820"	"Orange"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 160e)"	""	""	"Colorant"	""	
"8,18-Dichloro-5,15-diethyl-5,15-dihydrodiindolo[3,2-b:3',2'-m]triphenodioxazine"	"228-767-9"	"6358-30-1"	"85"	"8,18-Dichloro-5,15-diethyl-5,15-dihydrodiindolo[3,2-b:3&#39;,2&#39;-m]triphenodioxazine"	""	"6358-30-1"	"51319"	"Violet"	""	"Rinse-off products except when used as a substance in hair dye products"	""	""	""	"Colorant"	""	
"8,8'-diapo-ψ,ψ-Carotenedioic acid"	"248-708-0"	"27876-94-4"	"108"	"8,8&#39;-diapo-ψ,ψ-Carotenedioic acid"	""	"27876-94-4"	"75100"	"Yellow"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"[4-[[4-Anilino-1-naphthyl][4-(dimethylamino)phenyl]methylene] cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride"	"219-943-6"	"2580-56-5"	"69"	"[4-[[4-Anilino-1-naphthyl][4-(dimethylamino)phenyl]methylene] cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride"	""	"2580-56-5"	"44045"	"Blue"	""	"All cosmetic products except those applied to mucous membranes and when used as a substance in hair dye products"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Activated Carbon-High Density Skeleton"	"931-328-0"	"-"	"126"	"Activated Carbon-High Density Skeleton"	"931-328-0"	""	"77266"	"Black"	"High Density Skeleton"	"All cosmetic products"	"Purity &gt; 97 %, with the following impurity profile: Ash content ≤ 0.15 %, total sulphur ≤ 0.65 %, total PAH ≤ 500 ppb and benzo(a)pyrene ≤ 5 ppb, dibenz(a,h)anthracene ≤ 5 ppb, total As ≤ 3 ppm, total Pb ≤ 10 ppm, total Hg ≤ 1 ppm"	""	""	"Colorant"	""	
"Activated Carbon-High Density Skeleton"	"931-328-0"	"-"	"126a"	"Activated Carbon-High Density Skeleton"	"931-328-0"	""	"77266"	"Black"	"High Density Skeleton-nano"	"All cosmetic products"	"Not to be used in applications that may lead to exposure of the end user&#39;s lungs by inhalation; Only nanomaterials having the following characteristics are allowed: Purity &gt; 97 %, with the following impurity profile: Ash content ≤ 0.15 %, total sulphur ≤ 0.65 %, total PAH ≤ 500 ppb and benzo(a)pyrene ≤ 5 ppb, dibenz(a,h)anthracene ≤ 5 ppb, total As ≤ 3 ppm, total Pb ≤ 10 ppm, and total Hg ≤ 1 ppm; Primary particle size ≥ 20 nm"	"10 %"	""	"Colorant"	""	
"Activated Carbon-Low Density Skeleton"	"931-334-3"	"-"	"126"	"Activated Carbon-Low Density Skeleton"	"931-334-3"	""	"77266"	"Black"	"Low Density Skeleton"	"All cosmetic products"	"Purity &gt; 97 %, with the following impurity profile: Ash content ≤ 0.15 %, total sulphur ≤ 0.65 %, total PAH ≤ 500 ppb and benzo(a)pyrene ≤ 5 ppb, dibenz(a,h)anthracene ≤ 5 ppb, total As ≤ 3 ppm, total Pb ≤ 10 ppm, total Hg ≤ 1 ppm"	""	""	"Colorant"	""	
"Activated Carbon-Low Density Skeleton"	"931-334-3"	"-"	"126a"	"Activated Carbon-Low Density Skeleton"	"931-334-3"	""	"77266"	"Black"	"Low Density Skeleton-nano"	"All cosmetic products"	"Not to be used in applications that may lead to exposure of the end user&#39;s lungs by inhalation; Only nanomaterials having the following characteristics are allowed: Purity &gt; 97 %, with the following impurity profile: Ash content ≤ 0.15 %, total sulphur ≤ 0.65 %, total PAH ≤ 500 ppb and benzo(a)pyrene ≤ 5 ppb, dibenz(a,h)anthracene ≤ 5 ppb, total As ≤ 3 ppm, total Pb ≤ 10 ppm, and total Hg ≤ 1 ppm; Primary particle size ≥ 20 nm"	"10 %"	""	"Colorant"	""	
"Aluminium"	"231-072-3"	"7429-90-5"	"117"	"Aluminium"	"231-072-3"	"7429-90-5"	"77000"	"White"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 173)"	""	""	"Colorant"	""	
"Aluminium hydroxide sulphate"	"215-573-4"	"1332-73-6"	"118"	"Aluminium hydroxide sulphate"	""	"1332-73-6"	"77002"	"White"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Aluminum monostearate"	"230-325-5"	"7047-84-9"	"150"	"Aluminum monostearate"	"230-325-5"	"7047-84-9"	""	"White"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Aluminum silicate coloured with ferric oxide"	"-"	"-"	"121"	"Aluminum silicate coloured with ferric oxide"	""	""	"77015"	"Red"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Ammonium manganese(3+) diphosphate"	"233-257-4"	"10101-66-3"	"140"	"Ammonium manganese(3+) diphosphate"	""	"10101-66-3"	"77742"	"Violet"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
