Cosmetic Products Regulation, Annex IV - Allowed Colorants
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:08:22
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"EC Number"	"CAS"	"Colour Index (CI) Number"	"Colour"	"Physical form"	"Product type, body parts"	"Restriction(s)"	"Maximum Threshold"	"Expressed As"	"Function(s)"	"Notes"	
"Insoluble barium, strontium and zirconium lakes, salts and pigments of 2-Naphthalenesulfonic acid, 8-hydroxy-5,7-dinitro-"	"-"	"-"	"3"	"Insoluble barium, strontium and zirconium lakes, salts and pigments of 2-Naphthalenesulfonic acid, 8-hydroxy-5,7-dinitro-"	""	""	""	""	""	"All cosmetic products except eye products"	"Not to be used in eye products"	""	""	"Colorant"	""	
"Insoluble barium, strontium and zirconium lakes, salts and pigments of 3',6'-Dihydroxy-2',4',5',7'-tetraiodospiro(isobenzofuran-1(3H),9'-(9H)xanthene)-3-one"	"-"	"-"	"80"	"Insoluble barium, strontium and zirconium lakes, salts and pigments of 3&#39;,6&#39;-Dihydroxy-2&#39;,4&#39;,5&#39;,7&#39;-tetraiodospiro(isobenzofuran-1(3H),9&#39;-(9H)xanthene)-3-one"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 127)"	""	""	"Colorant"	""	
"Insoluble barium, strontium and zirconium lakes, salts and pigments of 4',5'-Dibromo-3',6'-dihydroxyspiro[isobenzofuran-1(3H),9'-[9H]xanthene]-3-one"	"-"	"-"	"75"	"Insoluble barium, strontium and zirconium lakes, salts and pigments of 4&#39;,5&#39;-Dibromo-3&#39;,6&#39;-dihydroxyspiro[isobenzofuran-1(3H),9&#39;-[9H]xanthene]-3-one"	""	""	""	""	""	"All cosmetic products"	"Not more than 1% 2-(6-hydroxy-3-oxo-3H-xanthen-9-yl) benzoic acid; Not more than 2 % 2-(bromo-6-hydroxy-3-oxo-3H-xanthen-9-yl) benzoic acid"	""	""	"Colorant"	""	
"Insoluble barium, strontium and zirconium lakes, salts and pigments of 4,5-Dihydro-5-oxo-1-(4-sulphophenyl)-4-((4-sulphophenyl)azo)-1H-pyrazole-3-carboxylic acid"	"-"	"-"	"44"	"Insoluble barium, strontium and zirconium lakes, salts and pigments of 4,5-Dihydro-5-oxo-1-(4-sulphophenyl)-4-((4-sulphophenyl)azo)-1H-pyrazole-3-carboxylic acid"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 102)"	""	""	"Colorant"	""	
"Insoluble barium, strontium and zirconium lakes, salts and pigments of 4-((2-Hydroxy-1-naphthyl)azo)benzenesulphonic acid"	"-"	"-"	"21"	"Insoluble barium, strontium and zirconium lakes, salts and pigments of 4-((2-Hydroxy-1-naphthyl)azo)benzenesulphonic acid"	""	""	""	""	""	"All cosmetic products except eye products"	"Not to be used in eye products"	""	""	"Colorant"	""	
"Insoluble barium, strontium and zirconium lakes, salts and pigments of 6-Hydroxy-5-((4-sulphophenyl)azo)naphthalene-2-sulphonic acid"	"-"	"-"	"31"	"Insoluble barium, strontium and zirconium lakes, salts and pigments of 6-Hydroxy-5-((4-sulphophenyl)azo)naphthalene-2-sulphonic acid"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 110)"	""	""	"Colorant"	""	
"Insoluble barium, strontium and zirconium lakes, salts and pigments of 7-Hydroxy-8-((4-sulphonaphthyl)azo)naphthalene-1,3-disulphonic acid"	"-"	"-"	"35"	"Insoluble barium, strontium and zirconium lakes, salts and pigments of 7-Hydroxy-8-((4-sulphonaphthyl)azo)naphthalene-1,3-disulphonic acid"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 124)"	""	""	"Colorant"	""	
"Insoluble barium, strontium and zirconium lakes, salts and pigments of Benzoic acid, 2-(2,4,5,7-tetrabromo-6-hydroxy-3-oxo-3H-xanthen-9-yl)-"	"-"	"-"	"76"	"Insoluble barium, strontium and zirconium lakes, salts and pigments of Benzoic acid, 2-(2,4,5,7-tetrabromo-6-hydroxy-3-oxo-3H-xanthen-9-yl)-"	""	""	""	""	""	"All cosmetic products"	"Not more than 1% 2-(6-hydroxy-3-oxo-3H-xanthen-9-yl) benzoic acid; Not more than 2 % 2-(bromo-6-hydroxy-3-oxo-3H-xanthen-9-yl) benzoic acid"	""	""	"Colorant"	""	
"Insoluble barium, strontium and zirconium lakes, salts and pigments of Ethanaminium, N-(4-((4-(diethylamino)phenyl)(5-hydroxy-2,4-disulfophenyl)methylene)-2,5-cyclohexadien-1-ylidene)-N-ethyl-, hydroxide, inner salt, calcium salt (2:1)"	"-"	"-"	"60"	"Insoluble barium, strontium and zirconium lakes, salts and pigments of Ethanaminium, N-(4-((4-(diethylamino)phenyl)(5-hydroxy-2,4-disulfophenyl)methylene)-2,5-cyclohexadien-1-ylidene)-N-ethyl-, hydroxide, inner salt, calcium salt (2:1)"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 131)"	""	""	"Colorant"	""	
"Iron oxide"	"215-721-8"	"1345-25-1"	"134"	"Iron oxide"	""	"1345-25-1"	"77489"	"Orange"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Iron oxide black"	"235-442-5"	"12227-89-3"	"137"	"Iron oxide black"	"235-442-5"	"12227-89-3"	"77499"	"Black"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 172)"	""	""	"Colorant"	""	
"Iron oxide red"	"215-168-2"	"1309-37-1"	"135"	"Iron oxide red"	"215-168-2"	"1309-37-1"	"77491"	"Red"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 172)"	""	""	"Colorant"	""	
"Iron oxide yellow"	"257-098-5"	"51274-00-1"	"136"	"Iron oxide yellow"	"257-098-5"	"51274-00-1"	"77492"	"Yellow"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 172)"	""	""	"Colorant"	""	
"Lazurite"	"215-111-1"	"1302-83-6"	"120"	"Lazurite"	""	"1302-83-6"	"77007"	"Blue"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Limestone"	"215-279-6"	"1317-65-3"	"124"	"Limestone"	"215-279-6"	"1317-65-3"	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 170)"	""	""	"Colorant"	""	
"Lycopene"	"207-949-1"	"502-65-8"	"110"	"Lycopene"	""	"502-65-8"	"75125"	"Yellow"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 160d)"	""	""	"Colorant"	""	
"Magnesium carbonate"	"208-915-9"	"546-93-0"	"139"	"Magnesium carbonate"	""	"546-93-0"	"77713"	"White"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Magnesium stearate"	"209-150-3"	"557-04-0"	"150"	"Magnesium stearate"	"209-150-3"	"557-04-0"	""	"White"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Magnesium, [3,7,11,15-tetramethyl-2-hexadecenyl 9-ethenyl-14-ethyl-13-formyl-21-(methoxycarbonyl)-4,8,18-trimethyl-20-oxo-3-phorbinepropanoato(2-)-N23,N24,N25,N26]-, [SP-4-2-[3S-[3α(2E,7S*,11S*),4β,21β]]]-"	"208-272-4"	"519-62-0"	"116"	"Magnesium, [3,7,11,15-tetramethyl-2-hexadecenyl 9-ethenyl-14-ethyl-13-formyl-21-(methoxycarbonyl)-4,8,18-trimethyl-20-oxo-3-phorbinepropanoato(2-)-N23,N24,N25,N26]-, [SP-4-2-[3S-[3α(2E,7S*,11S*),4β,21β]]]-"	"208-272-4"	"519-62-0"	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 140, E 141)"	""	""	"Colorant"	""	
"Magnesium, [3,7,11,15-tetramethyl-2-hexadecenyl 9-ethenyl-14-ethyl-21-(methoxycarbonyl)-4,8,13,18-tetramethyl-20-oxo-3-phorbinepropanoato(2-)-N23,N24,N25,N26]-, [SP-4-2-[3S-[3α(2E,7S*,11S*),4β,21β]]]-"	"207-536-6"	"479-61-8"	"116"	"Magnesium, [3,7,11,15-tetramethyl-2-hexadecenyl 9-ethenyl-14-ethyl-21-(methoxycarbonyl)-4,8,13,18-tetramethyl-20-oxo-3-phorbinepropanoato(2-)-N23,N24,N25,N26]-, [SP-4-2-[3S-[3α(2E,7S*,11S*),4β,21β]]]-"	"207-536-6"	"479-61-8"	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 140, E 141)"	""	""	"Colorant"	""	
"Malvidin chloride"	"211-403-8"	"643-84-5"	"149"	"Malvidin chloride"	"211-403-8"	"643-84-5"	""	"Red"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 163)"	""	""	"Colorant"	""	
"Methyl (9-cis)-hydrogen-6,6'-diapo-psi,psi-carotenedioate"	"230-248-7"	"6983-79-5"	"109"	"Methyl (9-cis)-hydrogen-6,6&#39;-diapo-psi,psi-carotenedioate"	"230-248-7"	"6983-79-5"	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 160b)"	""	""	"Colorant"	""	
"N,N'-(3,3'-Dimethyl[1,1'-biphenyl]-4,4'-diyl)bis[2-[(2,4-dichlorophenyl)azo]-3-oxobutyramide]"	"227-783-3"	"5979-28-2"	"45"	"N,N&#39;-(3,3&#39;-Dimethyl[1,1&#39;-biphenyl]-4,4&#39;-diyl)bis[2-[(2,4-dichlorophenyl)azo]-3-oxobutyramide]"	""	"5979-28-2"	"20040"	"Yellow"	""	"Rinse-off products"	"Maximum 3,3&#39;-dimethylbenzidine concentration in the colouring agent is 5 ppm"	""	""	"Colorant"	""	
"N-(4-Chloro-2-methylphenyl)-4-[(4-chloro-2-methylphenyl)azo]-3-hydroxynaphthalene-2-carboxamide"	"229-315-3"	"6471-51-8"	"12"	"N-(4-Chloro-2-methylphenyl)-4-[(4-chloro-2-methylphenyl)azo]-3-hydroxynaphthalene-2-carboxamide"	""	"6471-51-8"	"12420"	"Red"	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"N-(5-Chloro-2,4-dimethoxyphenyl)-4-[[5-[(diethylamino)sulphonyl]-2-methoxyphenyl]azo]-3-hydroxynaphthalene-2-carboxamide"	"229-107-2"	"6410-41-9"	"14"	"N-(5-Chloro-2,4-dimethoxyphenyl)-4-[[5-[(diethylamino)sulphonyl]-2-methoxyphenyl]azo]-3-hydroxynaphthalene-2-carboxamide"	""	"6410-41-9"	"12490"	"Red"	""	"All cosmetic products except when used as a substance in hair dye products"	""	""	""	"Colorant"	""	
"Natural hydrated aluminium silicate, Al2O3.2SiO2.2H2O"	"215-108-5"	"1302-78-9"	"119"	"Natural hydrated aluminium silicate, Al2O3.2SiO2.2H2O"	""	"1302-78-9"	"77004"	"White"	""	"All cosmetic products"	""	""	""	"Colorant"	"Containing calcium, magnesium or iron carbonates, ferric hydroxide, quartz-sand, mica, etc. as impurities"	
"Paprika extract, Capsanthin"	"207-364-1"	"465-42-9"	"147"	"Paprika extract, Capsanthin"	"207-364-1"	"465-42-9"	""	"Orange"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 160c)"	""	""	"Colorant"	""	
"Paprika extract, Capsorubin"	"207-425-2"	"470-38-2"	"147"	"Paprika extract, Capsorubin"	"207-425-2"	"470-38-2"	""	"Orange"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 160c)"	""	""	"Colorant"	""	
"Pelargonidin"	"205-127-7"	"134-04-3"	"149"	"Pelargonidin"	"205-127-7"	"134-04-3"	""	"Red"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 163)"	""	""	"Colorant"	""	
"Peonidin"	"205-125-6"	"134-01-0"	"149"	"Peonidin"	"205-125-6"	"134-01-0"	""	"Red"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 163)"	""	""	"Colorant"	""	
"Petunidin"	"215-849-4"	"1429-30-7"	"149"	"Petunidin"	""	"1429-30-7"	""	"Red"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 163)"	""	""	"Colorant"	""	
"Phenol, 4,4'-(3H-2,1-benzoxathiol-3-ylidene)bis[2,6-dibromo-3-methyl-,S,S-dioxide"	"200-972-8"	"76-60-8"	"152"	"Phenol, 4,4&#39;-(3H-2,1-benzoxathiol-3-ylidene)bis[2,6-dibromo-3-methyl-,S,S-dioxide"	"200-972-8"	"76-60-8"	""	"Green"	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Phenol, 4,4'-(3H-2,1-benzoxathiol-3-ylidene)bis[2-bromo-3-methyl-6-(1-methylethyl)-, S,S-dioxide"	"200-971-2"	"76-59-5"	"151"	"Phenol, 4,4&#39;-(3H-2,1-benzoxathiol-3-ylidene)bis[2-bromo-3-methyl-6-(1-methylethyl)-, S,S-dioxide"	"200-971-2"	"76-59-5"	""	"Blue"	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Polychloro copper phthalocyanine"	"215-524-7"	"1328-53-6"	"107"	"Polychloro copper phthalocyanine"	""	"1328-53-6"	"74260"	"Green"	""	"All cosmetic products except eye products and when used as a substance in hair dye products"	"Not to be used in eye products"	""	""	"Colorant"	""	
"Riboflavin"	"201-507-1"	"83-88-5"	"145"	"Riboflavin"	"201-507-1"	"83-88-5"	""	"Yellow"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 101)"	""	""	"Colorant"	""	
"Riboflavin 5'-(sodium hydrogen phosphate)"	"204-988-6"	"130-40-5"	"145"	"Riboflavin 5&#39;-(sodium hydrogen phosphate)"	"204-988-6"	"130-40-5"	""	"Yellow"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 101)"	""	""	"Colorant"	""	
"Salts and lakes of (3R)-beta-4-Caroten-3-ol"	"-"	"-"	"112"	"Salts and lakes of (3R)-beta-4-Caroten-3-ol"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 1,2-Dihydroxyanthraquinone"	"-"	"-"	"86"	"Salts and lakes of 1,2-Dihydroxyanthraquinone"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 1,3,6-Naphthalenetrisulfonic acid, 7-hydroxy-8-((4-sulfo-1-naphthalenyl)azo)-"	"-"	"-"	"36"	"Salts and lakes of 1,3,6-Naphthalenetrisulfonic acid, 7-hydroxy-8-((4-sulfo-1-naphthalenyl)azo)-"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 1,3-Isobenzofurandione, reaction products with methylquinoline and quinoline"	"-"	"-"	"81"	"Salts and lakes of 1,3-Isobenzofurandione, reaction products with methylquinoline and quinoline"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Salts and lakes of 1,3-Naphthalenedisulfonic acid, 7-hydroxy-8-(2-phenyldiazenyl)-"	"-"	"-"	"34"	"Salts and lakes of 1,3-Naphthalenedisulfonic acid, 7-hydroxy-8-(2-phenyldiazenyl)-"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Salts and lakes of 1,4-bis(p-Tolylamino)anthraquinone"	"-"	"-"	"91"	"Salts and lakes of 1,4-bis(p-Tolylamino)anthraquinone"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 1,7-Naphthalenedisulfonic acid, 4-(acetylamino)-5-hydroxy-6-((7-sulfo-4-((4-sulfophenyl)azo)-1-naphthalenyl)azo)-"	"-"	"-"	"53"	"Salts and lakes of 1,7-Naphthalenedisulfonic acid, 4-(acetylamino)-5-hydroxy-6-((7-sulfo-4-((4-sulfophenyl)azo)-1-naphthalenyl)azo)-"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 151)"	""	""	"Colorant"	""	
"Salts and lakes of 1-(4-(Phenylazo)phenylazo)-2-naphthol"	"-"	"-"	"51"	"Salts and lakes of 1-(4-(Phenylazo)phenylazo)-2-naphthol"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes; Purity criteria: aniline &lt;= 0.2%, 2-naphtol &lt;= 0.2%, 4-aminoazobenzene &lt;= 0.1%, 1-(phenylazo)-2-naphtol &lt;=3%, 1-[2-(phenylazo) phenylazo]-2-napthalenol &lt;= 2%"	""	""	"Colorant"	""	
"Salts and lakes of 1-[(4-Methyl-2-nitrophenyl)azo]-2-naphthol"	"-"	"-"	"10"	"Salts and lakes of 1-[(4-Methyl-2-nitrophenyl)azo]-2-naphthol"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of 1-Amino-4-(cyclohexylamino)-9,10-dihydro-9,10-dioxoanthracene-2-sulphonic acid"	"-"	"-"	"94"	"Salts and lakes of 1-Amino-4-(cyclohexylamino)-9,10-dihydro-9,10-dioxoanthracene-2-sulphonic acid"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of 1-Anilino-4-hydroxyanthraquinone"	"-"	"-"	"88"	"Salts and lakes of 1-Anilino-4-hydroxyanthraquinone"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of 1-Hydroxy-4-(p-toluidino)anthraquinone"	"-"	"-"	"89"	"Salts and lakes of 1-Hydroxy-4-(p-toluidino)anthraquinone"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 1-Hydroxypyrene-3,6,8-trisulfonic acid"	"-"	"-"	"87"	"Salts and lakes of 1-Hydroxypyrene-3,6,8-trisulfonic acid"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Salts and lakes of 1-Naphthalenesulfonic acid, 3-((2,4-dimethyl-5-sulfophenyl)azo)-4-hydroxy-"	"-"	"-"	"18"	"Salts and lakes of 1-Naphthalenesulfonic acid, 3-((2,4-dimethyl-5-sulfophenyl)azo)-4-hydroxy-"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 1-Naphthalenesulfonic acid, 4-(2-(2-hydroxy-1-naphthalenyl)diazenyl)-"	"-"	"-"	"24"	"Salts and lakes of 1-Naphthalenesulfonic acid, 4-(2-(2-hydroxy-1-naphthalenyl)diazenyl)-"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of 1-Naphthalenesulfonic acid, 6-((2,4-dimethyl-6-sulfophenyl)azo)-5-hydroxy-"	"-"	"-"	"20"	"Salts and lakes of 1-Naphthalenesulfonic acid, 6-((2,4-dimethyl-6-sulfophenyl)azo)-5-hydroxy-"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 2,2'-[(3,3'-Dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(2,4-dimethylphenyl)-3-oxobutyramide]"	"-"	"-"	"47"	"Salts and lakes of 2,2&#39;-[(3,3&#39;-Dichloro[1,1&#39;-biphenyl]-4,4&#39;-diyl)bis(azo)]bis[N-(2,4-dimethylphenyl)-3-oxobutyramide]"	""	""	""	""	""	"Rinse-off products"	"Maximum 3,3&#39;-dimethylbenzidine concentration in the colouring agent is 5 ppm"	""	""	"Colorant"	""	
"Salts and lakes of 2,2'-[(3,3'-Dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(4-chloro-2,5-dimethoxyphenyl)-3-oxobutyramide]"	"-"	"-"	"48"	"Salts and lakes of 2,2&#39;-[(3,3&#39;-Dichloro[1,1&#39;-biphenyl]-4,4&#39;-diyl)bis(azo)]bis[N-(4-chloro-2,5-dimethoxyphenyl)-3-oxobutyramide]"	""	""	""	""	""	"Rinse-off products"	"Maximum 3,3&#39;-dimethylbenzidine concentration in the colouring agent is 5 ppm"	""	""	"Colorant"	""	
"Salts and lakes of 2,2'-[Cyclohexylidenebis[(2-methyl-4,1-phenylene)azo]]bis[4-cyclohexylphenol]"	"-"	"-"	"49"	"Salts and lakes of 2,2&#39;-[Cyclohexylidenebis[(2-methyl-4,1-phenylene)azo]]bis[4-cyclohexylphenol]"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Salts and lakes of 2,4-Dihydro-5-methyl-2-phenyl-4-(phenylazo)-3H-pyrazol-3-one"	"-"	"-"	"15"	"Salts and lakes of 2,4-Dihydro-5-methyl-2-phenyl-4-(phenylazo)-3H-pyrazol-3-one"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of 2,7-Naphthalenedisulfonic acid, 3-((4-cyclohexyl-2-methylphenyl)azo)-4-hydroxy-5-(((4-methylphenyl)sulfonyl)amino)-"	"-"	"-"	"39"	"Salts and lakes of 2,7-Naphthalenedisulfonic acid, 3-((4-cyclohexyl-2-methylphenyl)azo)-4-hydroxy-5-(((4-methylphenyl)sulfonyl)amino)-"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of 2,7-Naphthalenedisulfonic acid, 4-amino-5-hydroxy-3-(2-(4-nitrophenyl)diazenyl)-6-(2-phenyldiazenyl)-"	"-"	"-"	"46"	"Salts and lakes of 2,7-Naphthalenedisulfonic acid, 4-amino-5-hydroxy-3-(2-(4-nitrophenyl)diazenyl)-6-(2-phenyldiazenyl)-"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of 2-(1,3-Dihydro-3-oxo-2H-indazol-2-ylidene)-1,2-dihydro-3H-indol-3-one"	"-"	"-"	"98"	"Salts and lakes of 2-(1,3-Dihydro-3-oxo-2H-indazol-2-ylidene)-1,2-dihydro-3H-indol-3-one"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 2-(1,3-Dihydro-3-oxo-5-sulpho-2H-indol-2-ylidene)-3-oxoindoline-5-sulphonic acid"	"-"	"-"	"99"	"Salts and lakes of 2-(1,3-Dihydro-3-oxo-5-sulpho-2H-indol-2-ylidene)-3-oxoindoline-5-sulphonic acid"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 132)"	""	""	"Colorant"	""	
"Salts and lakes of 2-[(4-Chloro-2-nitrophenyl)azo]-N-(2-chlorophenyl)-3-oxobutyramide"	"-"	"-"	"5"	"Salts and lakes of 2-[(4-Chloro-2-nitrophenyl)azo]-N-(2-chlorophenyl)-3-oxobutyramide"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Salts and lakes of 2-[(4-Methoxy-2-nitrophenyl)azo]-3-oxo-N-(o-tolyl)butyramide"	"-"	"-"	"6"	"Salts and lakes of 2-[(4-Methoxy-2-nitrophenyl)azo]-3-oxo-N-(o-tolyl)butyramide"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of 2-[(4-Methyl-2-nitrophenyl)azo]-3-oxo-N-phenylbutyramide"	"-"	"-"	"4"	"Salts and lakes of 2-[(4-Methyl-2-nitrophenyl)azo]-3-oxo-N-phenylbutyramide"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Salts and lakes of 2-Amino-1,7-dihydro-6H-purin-6-one"	"-"	"-"	"113"	"Salts and lakes of 2-Amino-1,7-dihydro-6H-purin-6-one"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 2-Naphthalenecarboxylic acid, 3-hydroxy-4-(2-phenyldiazenyl)-"	"-"	"-"	"26"	"Salts and lakes of 2-Naphthalenecarboxylic acid, 3-hydroxy-4-(2-phenyldiazenyl)-"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Salts and lakes of 2-Naphthalenesulfonic acid, 6-hydroxy-5-((2-methoxy-5-methyl-4-sulfophenyl)azo)-"	"-"	"-"	"32"	"Salts and lakes of 2-Naphthalenesulfonic acid, 6-hydroxy-5-((2-methoxy-5-methyl-4-sulfophenyl)azo)-"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 129)"	""	""	"Colorant"	""	
"Salts and lakes of 29H,31H-Phthalocyaninato(2-)-N29,N30,N31,N32 copper"	"-"	"-"	"105"	"Salts and lakes of 29H,31H-Phthalocyaninato(2-)-N29,N30,N31,N32 copper"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 29H,31H-Phthalocyanine"	"-"	"-"	"104"	"Salts and lakes of 29H,31H-Phthalocyanine"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of 3',6'-Dihydroxy-4',5'-dinitrospiro[isobenzofuran-1(3H),9'-[9H]xanthene]-3-one"	"-"	"-"	"77"	"Salts and lakes of 3&#39;,6&#39;-Dihydroxy-4&#39;,5&#39;-dinitrospiro[isobenzofuran-1(3H),9&#39;-[9H]xanthene]-3-one"	""	""	""	""	""	"All cosmetic products except lip products"	""	""	""	"Colorant"	""	
"Salts and lakes of 3,6-dichloro-2-(2,4,5,7-tetrabromo-6-oxido-3-oxoxanthen-9-yl)benzoate"	"-"	"-"	"78"	"Salts and lakes of 3,6-dichloro-2-(2,4,5,7-tetrabromo-6-oxido-3-oxoxanthen-9-yl)benzoate"	""	""	""	""	""	"All cosmetic products except eye products"	"Not to be used in eye products; Not more than 1% 2-(6-hydroxy-3-oxo-3H-xanthen-9-yl) benzoic acid; Not more than 2 % 2-(bromo-6-hydroxy-3-oxo-3H-xanthen-9-yl) benzoic acid"	""	""	"Colorant"	""	
"Salts and lakes of 3-Hydroxy-4-((4-sulphonaphthyl)azo)naphthalene-2,7-disulphonic acid"	"-"	"-"	"33"	"Salts and lakes of 3-Hydroxy-4-((4-sulphonaphthyl)azo)naphthalene-2,7-disulphonic acid"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 123)"	""	""	"Colorant"	""	
"Salts and lakes of 3-Hydroxy-N-(o-tolyl)-4-[(2,4,5-trichlorophenyl)azo]naphthalene-2-carboxamide"	"-"	"-"	"11"	"Salts and lakes of 3-Hydroxy-N-(o-tolyl)-4-[(2,4,5-trichlorophenyl)azo]naphthalene-2-carboxamide"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of 4,6-dihydroxy-3-[[4-[1-[4-[[1-hydroxy-7-[(phenylsulphonyl)oxy]-3-sulphonato-2-naphthyl]azo]phenyl]cyclohexyl] phenyl]azo]naphthalene-2-sulphonic acid"	"-"	"-"	"50"	"Salts and lakes of 4,6-dihydroxy-3-[[4-[1-[4-[[1-hydroxy-7-[(phenylsulphonyl)oxy]-3-sulphonato-2-naphthyl]azo]phenyl]cyclohexyl] phenyl]azo]naphthalene-2-sulphonic acid"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
